GENERATION BEST       MEAN       STD        ENEMY: 8
GENERATION BEST       MEAN       STD        ENEMY: 4

0          65.866780  0.370556   12.179423 
1          73.906780  6.557410   19.450399 
2          86.408343  13.654583  19.734582 
3          86.408343  22.297659  24.260026 
4          86.408343  29.304750  25.205364 
GENERATION BEST       MEAN       STD        ENEMY: 4

0          48.059829  1.347492   11.181047 
1          48.059829  8.535044   14.123173 
2          48.059829  13.194792  12.070041 
3          48.059829  17.450950  10.873069 
4          56.326780  18.047991  11.253734 
5          64.890121  20.767056  12.978471 
6          83.690788  24.089088  14.320359 
7          83.690788  25.612874  15.280226 
8          83.690788  27.697786  15.076889 
9          87.444277  29.952329  19.451742 
10         87.444277  36.900428  19.326941 
11         87.444277  41.358377  18.318041 
12         87.444277  38.903593  20.953686 
13         87.444277  42.277399  20.324553 
14         87.444277  42.743750  22.232332 
15         87.444277  43.534991  24.158009 
16         87.444277  50.922619  24.664202 
GENERATION BEST       MEAN       STD        ENEMY: 4

0          64.909090  -0.744076  12.709407 
1          64.909090  4.556042   13.834434 
2          64.909090  9.511212   11.833094 
3          73.836053  15.101716  16.709402 
4          73.836053  16.331598  14.617963 
5          73.836053  23.517931  17.943298 
6          73.836053  24.170918  23.827477 
7          85.590027  27.340591  25.881154 
8          85.590027  36.275155  26.817193 
9          85.590027  37.063119  28.266174 
10         85.590027  41.106149  30.288419 
11         85.590027  45.587613  28.018582 
12         85.590027  50.570783  27.435900 
13         85.590027  55.717543  27.078964 
14         85.590027  54.345738  30.934819 
